,source,variant,metric,count,mean,std,min,max
0,real,pref_pref,time_s,6951,1.6773748177479575,4.610335718340527,0.0002639039994392078,39.58420412000123
1,real,pref_pref,total_cost,6951,113.33631180542979,117.94075546513652,10.999999999999995,618.0786275911364
2,real,pref_pref,cost_per_node,6951,0.4763670035897295,0.17652446296917465,0.09147286821705417,0.9963562823619658
3,real,pref_triadic,time_s,5642,0.8619373931846873,1.877805547658284,0.0002572839994172682,17.26737666600002
4,real,pref_triadic,total_cost,5642,70.08317558067377,59.797454441404014,10.999999999999995,313.37955682630445
5,real,pref_triadic,cost_per_node,5642,0.4763885971367602,0.17255238971635872,0.13207547169811315,1.014176792947343
6,real,rand_rewire,time_s,6975,1.8421276678190877,5.168831938554123,0.0002693229980650358,42.42043217599712
7,real,rand_rewire,total_cost,6975,116.83171563917901,120.50465303161256,10.999999999999995,640.759113652609
8,real,rand_rewire,cost_per_node,6975,0.49170153152084706,0.17612528617828135,0.09218749999999996,0.9944177814084891
9,synthetic,high,time_s,8210,2.9712449288333898,6.136465788316434,0.0002720369957387447,44.91314675199101
10,synthetic,high,total_cost,8210,92.60689747940714,112.62232618288813,4.999999999999998,616.1636883488205
11,synthetic,high,cost_per_node,8210,0.496297382700863,0.17485447818758557,0.09218749999999996,1.025888056686453
12,synthetic,low,time_s,8252,2.723626485738704,5.825900839222108,0.000277279999863822,42.214887396999984
13,synthetic,low,total_cost,8252,90.18955250565027,110.16794398041635,4.999999999999998,603.568263045032
14,synthetic,low,cost_per_node,8252,0.4910031519079758,0.18392398572992508,0.08372827804107416,1.0283535858946866
15,synthetic,med,time_s,8249,2.9216794757728817,6.1361125287010605,0.0002804329997161403,44.94692161600688
16,synthetic,med,total_cost,8249,92.51304973306269,110.64527333977865,4.999999999999998,610.398141529664
17,synthetic,med,cost_per_node,8249,0.4915850843954973,0.1769109256629435,0.08668730650154786,1.025888056686453
