source,variant,algorithm,graph,count
real,pref_pref,Algorytm mrówkowy,scale_free,1
real,pref_pref,Solver ILP,random,2
real,pref_pref,Solver ILP,scale_free,1
real,pref_pref,Solver ILP,small_world,2
real,pref_triadic,Solver ILP,random,2
real,pref_triadic,Solver ILP,small_world,2
real,rand_rewire,Algorytm mrówkowy,scale_free,1
real,rand_rewire,Solver ILP,random,2
real,rand_rewire,Solver ILP,small_world,2
synthetic,high,Algorytm mrówkowy,random,1
synthetic,high,Algorytm mrówkowy,scale_free,2
synthetic,high,Algorytm mrówkowy,small_world,2
synthetic,high,Przeszukiwanie tabu,random,1
synthetic,high,Solver ILP,random,2
synthetic,high,Solver ILP,scale_free,1
synthetic,high,Solver ILP,small_world,2
synthetic,low,Algorytm mrówkowy,random,1
synthetic,low,Algorytm mrówkowy,scale_free,2
synthetic,low,Algorytm mrówkowy,small_world,2
synthetic,low,Solver ILP,random,2
synthetic,low,Solver ILP,scale_free,1
synthetic,low,Solver ILP,small_world,2
synthetic,med,Algorytm mrówkowy,random,1
synthetic,med,Algorytm mrówkowy,scale_free,2
synthetic,med,Algorytm mrówkowy,small_world,2
synthetic,med,Solver ILP,random,2
synthetic,med,Solver ILP,scale_free,1
synthetic,med,Solver ILP,small_world,2
